tp_code,centre_code,centre_name,organisation_code,organisation_description,service_model,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,infant_vacancy_current_month,infant_vacancy_next_month,infant_vacancy_third_month,infant_vacancy_fourth_month,infant_vacancy_fifth_month,infant_vacancy_sixth_month,infant_vacancy_seventh_month,pg_vacancy_current_month,pg_vacancy_next_month,pg_vacancy_third_month,pg_vacancy_fourth_month,pg_vacancy_fifth_month,pg_vacancy_sixth_month,pg_vacancy_seventh_month,n1_vacancy_current_month,n1_vacancy_next_month,n1_vacancy_third_month,n1_vacancy_fourth_month,n1_vacancy_fifth_month,n1_vacancy_sixth_month,n1_vacancy_seventh_month,n2_vacancy_current_month,n2_vacancy_next_month,n2_vacancy_third_month,n2_vacancy_fourth_month,n2_vacancy_fifth_month,n2_vacancy_sixth_month,n2_vacancy_seventh_month,k1_vacancy_current_month,k1_vacancy_next_month,k1_vacancy_third_month,k1_vacancy_fourth_month,k1_vacancy_fifth_month,k1_vacancy_sixth_month,k1_vacancy_seventh_month,k2_vacancy_current_month,k2_vacancy_next_month,k2_vacancy_third_month,k2_vacancy_fourth_month,k2_vacancy_fifth_month,k2_vacancy_sixth_month,k2_vacancy_seventh_month,food_offered,second_languages_offered,spark_certified,weekday_full_day,saturday,scheme_type,extended_operating_hours,provision_of_transport,government_subsidy,gst_regisration,last_updated,remarks,contactno_lifesg,emailaddress_lifesg,website_lifesg
na,ST0280,PCF Sparkletots Preschool @ Sengkang North Blk 231 (DS),ST,PCF Sparkletots Preschool Limited,DS,68817901,SR.DS.231@pcf.org.sg,"231,Compassvale Walk,#01-436,540231",540231,www.pcf.org.sg/sparkletots/,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Halal Food With No Beef (with Certification from MUIS),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,64853300,email@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0344,PCF Sparkletots Preschool @ Admiralty Blk 687B (DS),ST,PCF Sparkletots Preschool Limited,DS,63146162,AD.DS.687B@pcf.org.sg,"687B,Woodlands Drive 75,#01-47,732687",732687,www.pcf.org.sg/sparkletots/,Limited,Limited,Limited,Limited,Limited,Limited,Available,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,63146162,AD.DS.687B@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0341,PCF Sparkletots Preschool @ Sembawang West Blk 789 (DS),ST,PCF Sparkletots Preschool Limited,DS,63637978,SB.DS.789@pcf.org.sg,"789,Woodlands Avenue 6,#01-633,730789",730789,www.pcf.org.sg/sparkletots/,Available,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Available,Available,Limited,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,No,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,63637978,SB.DS.789@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0340,PCF Sparkletots Preschool @ Sembawang West Blk 730 (CC),ST,PCF Sparkletots Preschool Limited,CC,63695170,SB.CC.730@pcf.org.sg,"730,Woodlands Circle,#01-25,730730",730730,www.pcf.org.sg/sparkletots/,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Full,Full,Full,Limited,Available,Available,Available,Available,Available,Available,Available,Full,Full,Full,Full,Full,Full,Limited,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,No,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,63695170,SB.CC.730@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0160,PCF Sparkletots Preschool @ Sembawang West Blk 755 (CC),ST,PCF Sparkletots Preschool Limited,CC,63687021,SB.CC.755@pcf.org.sg,"755,WOODLANDS AVENUE 4,#01-299,730755",730755,www.pcf.org.sg/sparkletots/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Limited,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Available,Limited,Available,Available,Available,Available,Available,Available,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,63687021,SB.CC.755@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0150,PCF Sparkletots Preschool @ Canberra Blk 780D (CC),ST,PCF Sparkletots Preschool Limited,CC,63975675,CB.CC.780D@pcf.org.sg,"780D,WOODLANDS CRESCENT,#01-65,734780",734780,www.pcf.org.sg/sparkletots/,Available,Available,Available,Available,Available,Available,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,63975675,CB.CC.780D@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0137,PCF SPARKLETOTS PRESCHOOL @ WOODLANDS BLK 604 (CC),ST,PCF Sparkletots Preschool Limited,CC,63625530,WS.CC.604@pcf.org.sg,"604,WOODLANDS DRIVE 42,#01-11,730604",730604,www.pcf.org.sg/sparkletots/,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,63625530,WS.CC.604@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0117,PCF SPARKLETOTS PRESCHOOL @ WOODLANDS BLK 649 (CC),ST,PCF Sparkletots Preschool Limited,CC,63668398,WS.CC.649@pcf.org.sg,"649,WOODLANDS RING ROAD,#01-430,730649",730649,www.pcf.org.sg/sparkletots/,Limited,Limited,Limited,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,63668398,WS.CC.649@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0040,PCF SPARKLETOTS PRESCHOOL @ WOODLANDS BLK 677 (CC),ST,PCF Sparkletots Preschool Limited,CC,63665006,WS.CC.677@pcf.org.sg,"677,WOODLANDS AVE 6,#01-748,730677",730677,www.pcf.org.sg/sparkletots/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Full,Limited,Limited,Limited,Available,Limited,Full,Limited,Available,Available,Available,Available,Full,Full,Limited,Limited,Limited,Available,Available,Full,Full,Full,Full,Limited,Limited,Available,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,63665006,WS.CC.677@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,SK0003,Skool4Kidz Preschool,SK,Skool4Kidz Pte Ltd,CC,64626513,wlringroadcc@skool4kidz.com.sg,"628A,WOODLANDS RING ROAD,#01-282,731628",731628,https://skool4kidz.com.sg/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,62802272,wlringroadcc@skool4kidz.com.sg,https://skool4kidz.com.sg/
