BTO project name,Region,Planning area,Subzone,Estimated completion year,Total number of units
Toa Payoh Apex,Central Region,Toa Payoh,Boon Teck,2018,557
Fengshan GreenVille,East Region,Bedok,Bedok North,2018,1058
Sun Breeze,North Region,Sembawang,Sembawang Central,2018,700
Sun Natura,North Region,Sembawang,Sembawang Central,2018,848
Marsiling Greenview,North Region,Woodlands,Woodlands West,2018,1304
Blossom Spring @ Yishun,North Region,Yishun,Yishun East,2018,650
Meadow Spring @ Yishun,North Region,Yishun,Yishun East,2018,469
Anchorvale Fields,North-East Region,Sengkang,Anchorvale,2018,511
Cheng San Court,North-East Region,Ang Mo Kio,Cheng San,2018,712
Punggol Bayview,North-East Region,Punggol,Punggol Town Centre,2018,1096
Buangkok Parkvista,North-East Region,Hougang,Trafalgar,2018,485
Buangkok Tropica,North-East Region,Hougang,Trafalgar,2018,718
Buangkok Square,North-East Region,Hougang,Trafalgar,2018,725
West Rock @ Bukit Batok,West Region,Bukit Batok,Brickworks,2018,448
West Terra & Bukit Batok,West Region,Bukit Batok,Brickworks,2018,1793
West Valley @ Bukit Batok,West Region,Bukit Batok,Brickworks,2018,924
West Ridges @ Bukit Batok,West Region,Bukit Batok,Brickworks,2018,1578
Yung Ho Spring I,West Region,Jurong West,Taman Jurong,2018,641
Yung Ho Spring II,West Region,Jurong West,Taman Jurong,2018,266
St. George’s Towers,Central Region,Kallang,Bendemeer,2019,738
MacPherson Spring,Central Region,Geylang,Macpherson,2019,750
Alkaff LakeView,Central Region,Toa Payoh,Sennett,2019,531
Alkaff Vista,Central Region,Toa Payoh,Sennett,2019,350
Tampines GreenView,East Region,Tampines,Tampines North,2019,714
Tampines GreenWeave,East Region,Tampines,Tampines North,2019,1216
Tampines GreenRidges,East Region,Tampines,Tampines North,2019,1496
EastDelta @ Canberra,North Region,Sembawang,Sembawang East,2019,570
EastCreek @ Canberra,North Region,Sembawang,Sembawang East,2019,1252
EastLink I @ Canberra,North Region,Sembawang,Sembawang East,2019,600
EastLink II @ Canberra,North Region,Sembawang,Sembawang East,2019,441
Fernvale Woods,North-East Region,Sengkang,Fernvale,2019,1160
Buangkok Woods,North-East Region,Hougang,Trafalgar,2019,711
West Quarry @ Bukit Batok,West Region,Bukit Batok,Brickworks,2019,636
West Edge @ Bukit Batok,West Region,Bukit Batok,Brickworks,2019,1594
Pine Vista,Central Region,Geylang,Aljunied,2020,319
Alkaff Oasis,Central Region,Toa Payoh,Sennett,2020,1594
Alkaff CourtView,Central Region,Toa Payoh,Sennett,2020,1258
Bedok North Vale,East Region,Bedok,Bedok North,2020,215
Bedok North Woods,East Region,Bedok,Bedok North,2020,357
Tampines GreenBloom,East Region,Tampines,Tampines West,2020,319
Tampines GreenFlora,East Region,Tampines,Tampines West,2020,319
EastGlen @ Canberra,North Region,Sembawang,Sembawang East,2020,310
Woodlands Spring,North Region,Woodlands,Woodlands East,2020,172
Melody Spring @ Yishun,North Region,Yishun,Yishun East,2020,456
Valley Spring @ Yishun,North Region,Yishun,Yishun East,2020,824
Anchorvale Plains,North-East Region,Sengkang,Anchorvale,2020,921
Hougang RiverCourt,North-East Region,Hougang,Kangkar,2020,285
Matilda Sundeck,North-East Region,Punggol,Matilda,2020,490
Waterfront I @ Northshore,North-East Region,Punggol,Northshore,2020,791
Waterfront II @ Northshore,North-East Region,Punggol,Northshore,2020,903
Northshore StraitsView,North-East Region,Punggol,Northshore,2020,1021
Northshore Residences I,North-East Region,Punggol,Northshore,2020,588
Northshore Residences II,North-East Region,Punggol,Northshore,2020,814
Ang Mo Kio Court,North-East Region,Ang Mo Kio,Shangri-La,2020,590
West Plains @ Bukit Batok,West Region,Bukit Batok,Brickworks,2020,1655
Clementi Crest,West Region,Clementi,Clementi Central,2020,385
Teck Whye Vista,West Region,Choa Chu Kang,Teck Whye,2020,126
