Subzone,Planning Area,First deficit year,Gap in 2031,BTO share of 2031 demand
Brickworks,Bukit Batok,2026.0,3329.401745998417,0.722594325595322
Tampines North,Tampines,2026.0,2766.300572795016,0.857031970128869
Yishun East,Yishun,2026.0,2421.7674079377357,0.4679782299922001
Matilda,Punggol,2026.0,2144.203422764427,0.11471124862322073
Fernvale,Sengkang,2026.0,2108.3816434210057,0.31192399189215986
Plantation,Tengah,2026.0,1858.7600000000002,1.0
Lower Seletar,Yishun,2026.0,1446.859261310547,0.40956406522217226
Waterway East,Punggol,2026.0,1418.5015590186126,0.16931248815992656
Northshore,Punggol,2026.0,1366.3783241212986,0.9959215168129701
Park,Tengah,2026.0,1316.6400000000003,1.0
Garden,Tengah,2026.0,1271.0,1.0
Keat Hong,Choa Chu Kang,2026.0,954.5306332148248,0.185276841951454
Sembawang East,Sembawang,2026.0,931.3011622008962,0.4851413947295563
Woodlands West,Woodlands,2026.0,908.540353391727,0.483289726438602
Woodlands South,Woodlands,2026.0,778.4433768869749,0.2535503629549423
Anchorvale,Sengkang,2026.0,766.7646530033999,0.16586882426079488
Trafalgar,Hougang,2026.0,668.0000456632406,0.35731140410251616
Bidadari,Toa Payoh,2026.0,652.72,1.0
Woodlands Regional Centre,Woodlands,2026.0,537.2400000000001,1.0
Henderson Hill,Bukit Merah,2026.0,536.0185026714585,0.6349296903594295
Senja,Bukit Panjang,2026.0,481.74886891998835,0.3722279847849658
Macpherson,Geylang,2026.0,375.66579727769977,0.46795955592281807
Boon Lay Place,Jurong West,2026.0,364.3617252505362,0.18636820095860507
Redhill,Bukit Merah,2026.0,353.3995210152664,0.3956635155706245
Punggol Town Centre,Punggol,2026.0,350.4798929176236,0.16583806242614557
Tampines West,Tampines,2026.0,327.97704898311895,0.45834685892301247
Sungei Road,Rochor,2026.0,316.21487843033844,0.8500548782976262
Bukit Ho Swee,Bukit Merah,2026.0,249.47054682172984,0.442826283241971
Chong Boon,Ang Mo Kio,2026.0,215.1571932100295,0.0
Pasir Ris Central,Pasir Ris,2026.0,214.48092597253117,0.22792266824133497
Boon Teck,Toa Payoh,2026.0,204.2760275147515,0.3092750626450069
Sennett,Toa Payoh,2026.0,188.00331853567377,0.82426315897212
Telok Blangah Drive,Bukit Merah,2026.0,187.71838112453122,0.07125009501691237
Yuhua West,Jurong East,2026.0,185.76807166502283,0.0
Toa Payoh West,Toa Payoh,2026.0,181.1408433789668,0.44326603943756354
Rivervale,Sengkang,2026.0,154.2713473245285,0.2973319115468585
Kangkar,Hougang,2026.0,139.38177866845012,0.07003798155633055
Cheng San,Ang Mo Kio,2026.0,135.50043442301194,0.23861148574707325
Tiong Bahru,Bukit Merah,2026.0,112.32143817899447,0.0
Taman Jurong,Jurong West,2026.0,104.45047835523042,0.2983955539144482
Faber,Clementi,2026.0,103.89332768388309,0.0
Changi West,Changi,2026.0,75.12531673068672,0.0
Bendemeer,Kallang,2026.0,71.80558348277009,0.4049352169308651
Tiong Bahru Station,Bukit Merah,2026.0,71.71291143401561,0.0
Flora Drive,Pasir Ris,2026.0,61.17154126076019,0.0
Dover,Queenstown,2026.0,59.89274017776796,0.0
Everton Park,Bukit Merah,2026.0,50.82916935456174,0.0
Compassvale,Sengkang,2026.0,50.776016174759434,0.0
Orange Grove,Newton,2026.0,47.41487843033844,0.0
Sembawang Straits,Sembawang,2026.0,46.43646037548394,0.0
Monk's Hill,Newton,2026.0,41.365716369689316,0.0
Institution Hill,River Valley,2026.0,38.730845233263494,0.0
Loyang East,Pasir Ris,2026.0,36.29497236389471,0.0
Cairnhill,Newton,2026.0,29.16789311486255,0.0
Clementi North,Clementi,2026.0,27.852202380973267,0.2926979255819992
Nee Soon,Yishun,2026.0,23.21823018774197,0.0
Telok Blangah Rise,Bukit Merah,2026.0,21.86216013430834,0.0
China Square,Outram,2026.0,18.147486181947354,0.0
Mount Pleasant,Novena,2026.0,18.147486181947354,0.0
Bugis,Downtown Core,2026.0,14.633696124195541,0.0
Turf Club,Sungei Kadut,2026.0,14.633696124195541,0.0
Tanjong Pagar,Downtown Core,2026.0,12.098324121298237,0.0
Tanglin,Orchard,2026.0,12.098324121298237,0.0
Lakeside (Leisure),Jurong East,2026.0,12.098324121298237,0.0
Paterson,River Valley,2026.0,8.584534063546425,0.0
Nicoll,Downtown Core,2026.0,6.0491620606491185,0.0
Fort Canning,Museum,2026.0,6.0491620606491185,0.0
Somerset,Orchard,2026.0,6.0491620606491185,0.0
Changi Point,Changi,2026.0,6.0491620606491185,0.0
Lim Chu Kang,Lim Chu Kang,2026.0,3.5137900577518106,0.0
Selegie,Rochor,2026.0,2.535372002897307,0.0
Commonwealth,Queenstown,2026.0,-0.0994991335285107,0.0
Hougang East,Hougang,2026.0,-10.27379578938519,0.0
Yew Tee,Choa Chu Kang,2026.0,-23.899243598162798,0.019506183019657137
Saujana,Bukit Panjang,2026.0,-45.03215874077182,0.0
Kampong Bugis,Kallang,2027.0,307.20590423680187,0.9530313680675917
Bishan East,Bishan,2027.0,44.91677135180316,0.48275998206175597
Singapore Polytechnic,Queenstown,2028.0,521.6,1.0
Ghim Moh,Queenstown,2028.0,486.2467071001262,0.5274947903549086
Queensway,Queenstown,2028.0,284.59379005775185,0.9908636328807489
Khatib,Yishun,2028.0,247.61939588301993,0.6529352369330258
Teck Whye,Choa Chu Kang,2028.0,216.53631660933297,0.650798606305553
Tanglin Halt,Queenstown,2028.0,182.1511104230674,0.5887131259630076
Bedok South,Bedok,2028.0,111.33133475974296,0.4804421937057859
Boon Keng,Kallang,2028.0,106.79713249820304,0.49061051070742123
Lavender,Kallang,2028.0,35.83753213720564,0.331827116793103
Woodgrove,Woodlands,2028.0,28.315902045019357,0.5228255170518032
Tai Seng,Hougang,2028.0,-3.206195354422789,0.632183630273155
Jelebu,Bukit Panjang,2028.0,-3.3419763132750404,0.13424089986804535
Tanjong Rhu,Kallang,2029.0,556.0801085213816,0.6747499378273113
North Coast,Woodlands,2029.0,344.6717218339601,0.6988362987573926
Teban Gardens,Jurong East,2029.0,184.09929263251138,0.38780802744903775
Ang Mo Kio Town Centre,Ang Mo Kio,2029.0,71.46335905131616,0.6753828981698892
Alexandra North,Bukit Merah,2029.0,60.04808098197515,0.7030172173384582
Balestier,Novena,2029.0,24.498484037553908,0.3760819706501655
