subzone,planning_area,supply,n_centres,pct_full_avg,demand_2026,organic_2026,bto_2026,gap_2026,demand_2027,organic_2027,bto_2027,gap_2027,demand_2028,organic_2028,bto_2028,gap_2028,demand_2029,organic_2029,bto_2029,gap_2029,demand_2030,organic_2030,bto_2030,gap_2030,demand_2031,organic_2031,bto_2031,gap_2031,gap_trend,centres_needed_2031,category,bto_share_2031,first_deficit_year,supply_younger,supply_older,demand_younger_2026,demand_older_2026,gap_younger_2026,gap_older_2026,demand_younger_2027,demand_older_2027,gap_younger_2027,gap_older_2027,demand_younger_2028,demand_older_2028,gap_younger_2028,gap_older_2028,demand_younger_2029,demand_older_2029,gap_younger_2029,gap_older_2029,demand_younger_2030,demand_older_2030,gap_younger_2030,gap_older_2030,demand_younger_2031,demand_older_2031,gap_younger_2031,gap_older_2031
Depot Road,Bukit Merah,400.0,4.0,0.0,236.87100450021617,236.87100450021617,0.0,-163.12899549978383,234.2702229940678,234.2702229940678,0.0,-165.7297770059322,231.72354993824953,231.72354993824953,0.0,-168.27645006175047,229.22990972512665,229.22990972512665,0.0,-170.77009027487335,226.7882481806297,226.7882481806297,0.0,-173.2117518193703,224.39753213720564,224.39753213720564,0.0,-175.60246786279436,-12.47347236301053,0.0,Comfortable,0.0,,210.0,140.0,136.00224706405294,100.86875743616321,-73.99775293594706,-39.13124256383679,133.29247680142223,100.97774619264557,-76.70752319857777,-39.02225380735443,130.63669722670107,101.08685271154849,-79.36330277329893,-38.91314728845151,128.03383260501224,101.19607712011441,-81.96616739498776,-38.80392287988559,125.48282863490648,101.3054195457232,-84.51717136509352,-38.6945804542768,122.98265202131336,101.41488011589229,-87.01734797868664,-38.58511988410771
Bukit Merah,Bukit Merah,100.0,1.0,0.6,24.265930142153515,24.265930142153515,0.0,-75.73406985784649,24.0472877142026,24.0472877142026,0.0,-75.9527122857974,23.833287779803655,23.833287779803655,0.0,-76.16671222019635,23.623838149015352,23.623838149015352,0.0,-76.37616185098464,23.41884846906453,23.41884846906453,0.0,-76.58115153093547,23.21823018774197,23.21823018774197,0.0,-76.78176981225803,-1.0476999544115415,0.0,Comfortable,0.0,,50.0,33.333333333333336,11.657335462633112,12.608594679520401,-38.342664537366886,-20.724738653812935,11.425069440121906,12.622218274080696,-38.5749305598781,-20.71111505925264,11.197431190860094,12.635856588943561,-38.802568809139906,-20.697476744389775,10.97432850900105,12.649509640014301,-39.02567149099895,-20.683823693319034,10.755671025849129,12.6631774432154,-39.244328974150875,-20.670155890117936,10.541370173255432,12.676860014486536,-39.45862982674457,-20.6564733188468
Chinatown,Outram,600.0,6.0,0.0,321.11973022193337,321.11973022193337,0.0,-278.88026977806663,317.79377358116466,317.79377358116466,0.0,-282.20622641883534,314.5374042946467,314.5374042946467,0.0,-285.4625957053533,311.34923945918166,311.34923945918166,0.0,-288.65076054081834,308.2279237290356,308.2279237290356,0.0,-291.7720762709644,305.1721287668753,305.1721287668753,0.0,-294.8278712331247,-15.947601455058077,0.0,Comfortable,0.0,,300.0,200.0,174.86003193949668,146.25969828243666,-125.13996806050332,-53.74030171756334,171.37604160182858,146.41773197933605,-128.62395839817142,-53.582268020663946,167.9614678629014,146.5759364317453,-132.0385321370986,-53.424063568254695,164.61492763501573,146.7343118241659,-135.38507236498427,-53.2656881758341,161.33506538773693,146.89285834129862,-138.66493461226307,-53.10714165870138,158.12055259883147,147.0515761680438,-141.87944740116853,-52.948423831956205
Phillip,Downtown Core,100.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,Comfortable,0.0,,50.0,33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336,0.0,0.0,-50.0,-33.333333333333336
Raffles Place,Downtown Core,300.0,3.0,0.3333333333333333,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,-300.0,0.0,0.0,Comfortable,0.0,,160.0,106.66666666666667,0.0,0.0,-160.0,-106.66666666666667,0.0,0.0,-160.0,-106.66666666666667,0.0,0.0,-160.0,-106.66666666666667,0.0,0.0,-160.0,-106.66666666666667,0.0,0.0,-160.0,-106.66666666666667,0.0,0.0,-160.0,-106.66666666666667
China Square,Outram,0.0,0.0,,19.222492270345352,19.222492270345352,0.0,19.222492270345352,18.99840040457032,18.99840040457032,0.0,18.99840040457032,18.77894514422623,18.77894514422623,0.0,18.77894514422623,18.56403429300963,18.56403429300963,0.0,18.56403429300963,18.353577491778367,18.353577491778367,0.0,18.353577491778367,18.147486181947354,18.147486181947354,0.0,18.147486181947354,-1.0750060883979984,1.0,Urgent: deficit today,0.0,2026.0,0.0,0.0,11.657335462633112,7.565156807712241,11.657335462633112,7.565156807712241,11.425069440121906,7.573330964448417,11.425069440121906,7.573330964448417,11.197431190860094,7.581513953366136,11.197431190860094,7.581513953366136,10.97432850900105,7.589705784008582,10.97432850900105,7.589705784008582,10.755671025849129,7.597906465929239,10.755671025849129,7.597906465929239,10.541370173255432,7.606116008691921,10.541370173255432,7.606116008691921
Tiong Bahru,Bukit Merah,300.0,3.0,0.26666666666666666,437.07388434613483,437.07388434613483,0.0,137.07388434613483,431.91432199548507,431.91432199548507,0.0,131.91432199548507,426.86139568162577,426.86139568162577,0.0,126.86139568162577,421.91298488321576,421.91298488321576,0.0,121.91298488321576,417.0670113336163,417.0670113336163,0.0,117.06701133361628,412.32143817899447,412.32143817899447,0.0,112.32143817899447,-24.752446167140363,2.0,Urgent: deficit today,0.0,2026.0,160.0,106.66666666666667,268.1187156405615,168.95516870557339,108.1187156405615,62.288502038906714,262.77659712280376,169.1377248726813,102.77659712280376,62.47105820601463,257.5409173897821,169.3204782918437,97.54091738978212,62.65381162517703,252.4095557070241,169.50342917619164,92.40955570702411,62.83676250952497,247.3804335945299,169.68657773908635,87.3804335945299,63.019911072419674,242.45151398487488,169.86992419411956,82.45151398487488,63.20325752745289
Bayfront Subzone,Downtown Core,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Comfortable,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiong Bahru Station,Bukit Merah,300.0,3.0,0.06666666666666667,391.60220187986636,391.60220187986636,0.0,91.60220187986636,387.45457506458916,387.45457506458916,0.0,87.45457506458916,383.39353649014294,383.39353649014294,0.0,83.39353649014294,379.417365200217,379.417365200217,0.0,79.41736520021698,375.52437453222285,375.52437453222285,0.0,75.52437453222285,371.7129114340156,371.7129114340156,0.0,71.71291143401561,-19.889290445850747,1.0,Urgent: deficit today,0.0,2026.0,170.0,113.33333333333334,217.60359530248476,173.99860657738157,47.60359530248476,60.66527324404822,213.26796288227558,174.18661218231358,43.26796288227558,60.85327884898024,209.01871556272175,174.37482092742115,39.01871556272175,61.04148759408781,204.8541321680196,174.56323303219736,34.85413216801959,61.22989969886402,200.77252581585037,174.7518487163725,30.772525815850372,61.418515383039164,196.7722432341014,174.9406681999142,26.77224323410141,61.60733486658086
Clifford Pier,Downtown Core,100.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,0.0,0.0,Comfortable,0.0,,60.0,40.0,0.0,0.0,-60.0,-40.0,0.0,0.0,-60.0,-40.0,0.0,0.0,-60.0,-40.0,0.0,0.0,-60.0,-40.0,0.0,0.0,-60.0,-40.0,0.0,0.0,-60.0,-40.0
