subzone,planning_area,supply,n_centres,pct_full_avg,demand_2026,organic_2026,bto_2026,gap_2026,demand_2027,organic_2027,bto_2027,gap_2027,demand_2028,organic_2028,bto_2028,gap_2028,demand_2029,organic_2029,bto_2029,gap_2029,demand_2030,organic_2030,bto_2030,gap_2030,demand_2031,organic_2031,bto_2031,gap_2031,gap_trend,centres_needed_2031,category,bto_share_2031,first_deficit_year,supply_younger,supply_older,demand_younger_2026,demand_older_2026,gap_younger_2026,gap_older_2026,demand_younger_2027,demand_older_2027,gap_younger_2027,gap_older_2027,demand_younger_2028,demand_older_2028,gap_younger_2028,gap_older_2028,demand_younger_2029,demand_older_2029,gap_younger_2029,gap_older_2029,demand_younger_2030,demand_older_2030,gap_younger_2030,gap_older_2030,demand_younger_2031,demand_older_2031,gap_younger_2031,gap_older_2031,masked_driver
Bedok North,Bedok,2700.0,27.0,0.2641975308641975,2426.135402382981,1829.735402382981,596.4000000000001,-273.8645976170192,2466.6132517743827,1809.5932517743827,657.02,-233.38674822561734,2507.510050119952,1789.8700501199519,717.6400000000001,-192.4899498800478,2488.1974691379755,1770.5574691379757,717.6400000000001,-211.80253086202447,2469.2873465037733,1751.6473465037732,717.6400000000001,-230.71265349622672,2450.771682543111,1733.131682543111,717.6400000000001,-249.22831745688882,24.636280160130354,0.0,Comfortable,0.29282205482940826,,1425.0,1033.3333333333335,1432.573242851797,993.5621595311841,7.5732428517969765,-39.771173802149406,1450.1682424546484,1016.4450093197343,25.168242454648407,-16.88832401359923,1468.1812842410284,1039.3287658789236,43.18128424102838,5.99543254559012,1448.0276753130947,1040.169793824881,23.027675313094733,6.836460491547541,1428.2756160017045,1041.0117305020685,3.2756160017045204,7.678397168735046,1408.9171056507407,1041.8545768923705,-16.082894349259277,8.521243559036975,Younger (18mo-4y) short
Sembawang Central,Sembawang,1900.0,19.0,0.19473684210526318,1633.7509367860114,1200.3109367860113,433.44000000000005,-266.2490632139886,1620.1113048817672,1186.6713048817671,433.44000000000005,-279.8886951182328,1606.754538293476,1173.3145382934758,433.44000000000005,-293.2454617065241,1593.675013081619,1160.235013081619,433.44000000000005,-306.324986918381,1580.8672173735545,1147.4272173735544,433.44000000000005,-319.13278262644553,1568.3257491306588,1134.8857491306587,433.44000000000005,-331.6742508693412,-65.4251876553526,0.0,Relocation candidate,0.27637115582669025,,985.0,706.6666666666667,986.9229177660743,646.8280190199371,1.9229177660743062,-59.83864764672967,972.7546903928908,647.3566144888764,-12.24530960710922,-59.31005217779034,958.8687571879203,647.8857811055557,-26.131242812079677,-58.78088556111106,945.2594935945186,648.4155194871004,-39.74050640548137,-58.251147179566374,931.9213871222514,648.945830251303,-53.07861287774858,-57.72083641536369,918.8490351140358,649.4767140166231,-66.15096488596419,-57.189952650043665,Younger (18mo-4y) short
Jurong West Central,Jurong West,2100.0,21.0,0.24126984126984125,1883.3556174664825,1883.3556174664825,0.0,-216.6443825335175,1864.740574219642,1864.740574219642,0.0,-235.25942578035801,1846.5168575464381,1846.5168575464381,0.0,-253.48314245356187,1828.6766925561096,1828.6766925561096,0.0,-271.32330744389037,1811.2124592921891,1811.2124592921891,0.0,-288.7875407078109,1794.1166896455466,1794.1166896455466,0.0,-305.88331035445344,-89.23892782093594,0.0,Relocation candidate,0.0,,1070.0,813.3333333333334,983.1019573487257,900.2536601177567,-86.8980426512743,86.92032678442331,963.5141894502807,901.2263847693615,-106.4858105497193,87.89305143602814,944.3166970958679,902.2001604505703,-125.68330290413212,88.86682711723688,925.5017042590886,903.1749882970212,-144.49829574091143,89.8416549636878,907.0615898466099,904.1508694455795,-162.93841015339012,90.8175361122461,888.9888846112082,905.1278050343386,-181.01111538879184,91.79447170100525,Older (5-6y) short
Clementi Central,Clementi,600.0,6.0,0.32222222222222224,448.14222249227873,340.3422224922787,107.80000000000001,-151.85777750772127,444.592173985735,336.79217398573496,107.80000000000001,-155.40782601426503,441.116349438873,333.316349438873,107.80000000000001,-158.883650561127,437.71327375219124,329.91327375219123,107.80000000000001,-162.28672624780876,434.38150122081396,326.58150122081395,107.80000000000001,-165.61849877918604,431.11961494882263,323.3196149488226,107.80000000000001,-168.88038505117737,-17.022607543456104,0.0,Comfortable,0.25004661412308216,,370.0,146.66666666666669,255.1173674021298,193.0248550901489,-114.88263259787021,46.358188423482204,251.40111104195051,193.19106294378446,-118.59888895804949,46.52439627711777,247.75889905376152,193.35745038511146,-122.24110094623848,46.69078371844478,244.18925614401678,193.52401760817446,-125.81074385598322,46.857350941507775,240.69073641358608,193.69076480722788,-129.30926358641392,47.02409814056119,237.2619227720869,193.85769217673572,-132.7380772279131,47.19102551006904,Older (5-6y) short
Bangkit,Bukit Panjang,600.0,6.0,0.3111111111111111,448.318419474015,448.318419474015,0.0,-151.681580525985,443.2526274443413,443.2526274443413,0.0,-156.74737255565873,438.2919465247381,438.2919465247381,0.0,-161.70805347526192,433.43428694823257,433.43428694823257,0.0,-166.56571305176743,428.6776005901917,428.6776005901917,0.0,-171.32239940980833,424.0198801386265,424.0198801386265,0.0,-175.9801198613735,-24.29853933538851,0.0,Relocation candidate,0.0,,360.0,156.66666666666669,264.2329371530172,184.08548232099787,-95.76706284698281,27.418815654331183,258.96824064276313,184.28438680157814,-101.03175935723687,27.61772013491145,253.8084403261621,184.483506198576,-106.1915596738379,27.816839531909324,248.75144620402378,184.68284074420882,-111.24855379597622,28.016174077542132,243.79520991924687,184.88239067094483,-116.20479008075313,28.215724004278144,238.93772392712307,185.08215621150342,-121.06227607287693,28.41548954483673,Older (5-6y) short
Townsville,Ang Mo Kio,600.0,6.0,0.10000000000000002,473.3292086656793,473.3292086656793,0.0,-126.67079133432071,468.4536819968698,468.4536819968698,0.0,-131.54631800313018,463.6802195287513,463.6802195287513,0.0,-136.3197804712487,459.00679300626905,459.00679300626905,0.0,-140.99320699373095,454.4314145919857,454.4314145919857,0.0,-145.56858540801431,449.9521360607879,449.9521360607879,0.0,-150.0478639392121,-23.377072604891396,0.0,Relocation candidate,0.0,,320.0,213.33333333333334,256.4613801779284,216.8678284877509,-63.53861982207161,3.534495154417556,251.35152768268188,217.10215431418797,-68.64847231731812,3.7688209808546276,246.34348619892202,217.33673332982926,-73.65651380107798,4.003399996495915,241.43522719802306,217.571565808246,-78.56477280197694,4.23823247491265,236.62476256868078,217.80665202330488,-83.37523743131922,4.473318689971535,231.9101438116195,218.04199224916843,-88.08985618838051,4.7086589158350876,Older (5-6y) short
Pei Chun,Toa Payoh,300.0,3.0,0.20000000000000004,194.33384130460462,194.33384130460462,0.0,-105.66615869539538,246.32168370925365,192.42168370925364,53.900000000000006,-53.67831629074635,298.34974241230316,190.54974241230317,107.80000000000001,-1.6502575876968422,296.51721841411495,188.71721841411494,107.80000000000001,-3.48278158588505,294.7233286371531,186.92332863715308,107.80000000000001,-5.276671362846912,292.96730560874744,185.16730560874743,107.80000000000001,-7.032694391252562,98.63346430414282,0.0,Comfortable,0.3679591474414042,,200.0,66.66666666666667,101.03024067615362,93.30360062845098,-98.96975932384638,26.636933961784308,133.31726848105652,113.00441522819713,-66.68273151894348,46.33774856153046,165.64440365412082,132.70533875818234,-34.35559634587918,66.03867209151566,163.71084707800912,132.80637133610583,-36.289152921990876,66.13970466943915,161.81581555735914,132.90751307979394,-38.184184442640856,66.24084641312727,159.95854150154707,133.00876410720036,-40.041458498452926,66.34209744053369,Older (5-6y) short
Sengkang Town Centre,Sengkang,2400.0,24.0,0.18333333333333335,2300.2915750179936,2300.2915750179936,0.0,-99.70842498200636,2273.4752484135815,2273.4752484135815,0.0,-126.52475158641846,2247.213768925739,2247.213768925739,0.0,-152.7862310742612,2221.4961037301528,2221.4961037301528,0.0,-178.50389626984725,2196.311439849478,2196.311439849478,0.0,-203.68856015052188,2171.649179773033,2171.649179773033,0.0,-228.3508202269668,-128.64239524496043,0.0,Relocation candidate,0.0,,1315.0,826.6666666666667,1394.994477028429,905.2970979895649,79.99447702842895,78.63043132289818,1367.199976334588,906.2752720789938,52.19997633458797,79.60860541232705,1339.9592658395911,907.2545030861477,24.959265839591126,80.58783641948094,1313.2613115771255,908.2347921530269,-1.7386884228744748,81.56812548636015,1287.0952994266124,909.2161404228656,-27.904700573387572,82.54947375619884,1261.4506307329,910.1985490401333,-53.54936926710002,83.5318823734666,Both bands short
Bukit Batok West,Bukit Batok,500.0,5.0,0.43,417.8513920757896,417.8513920757896,0.0,-82.14860792421041,412.9159215909148,412.9159215909148,0.0,-87.08407840908518,408.08245053739967,408.08245053739967,0.0,-91.91754946260033,403.3489505902061,403.3489505902061,0.0,-96.65104940979393,398.7134338418379,398.7134338418379,0.0,-101.28656615816209,394.17395199704714,394.17395199704714,0.0,-105.82604800295286,-23.67744007874245,0.0,Relocation candidate,0.0,,210.0,256.6666666666667,256.4613801779284,161.39001189786114,46.46138017792839,-95.27665476880554,251.35152768268188,161.5643939082329,41.351527682681876,-95.1022727584338,246.34348619892202,161.7389643384776,36.34348619892202,-94.9277023281891,241.43522719802306,161.91372339218307,31.435227198023057,-94.75294327448361,236.62476256868078,162.0886712731571,26.62476256868078,-94.57799539350958,231.9101438116195,162.26380818542765,21.91014381161949,-94.40285848123904,Younger (18mo-4y) short
Fajar,Bukit Panjang,1100.0,11.0,0.36363636363636365,1018.172889826174,1018.172889826174,0.0,-81.82711017382599,1006.7850754553285,1006.7850754553285,0.0,-93.21492454467148,995.6337721223683,995.6337721223683,0.0,-104.36622787763167,984.714277863534,984.714277863534,0.0,-115.285722136466,974.021984410343,974.021984410343,0.0,-125.97801558965705,963.5523753227745,963.5523753227745,0.0,-136.44762467722546,-54.62051450339948,0.0,Relocation candidate,0.0,,540.0,460.0,594.5241085942887,423.6487812318855,54.52410859428869,-36.35121876811451,582.6785414462172,424.10653400911133,42.678541446217196,-35.89346599088867,571.0689907338648,424.56478138850366,31.06899073386478,-35.43521861149634,559.6907539590535,425.0235239044805,19.690753959053495,-34.9764760955195,548.5392223183055,425.48276209203743,8.53922231830552,-34.51723790796257,537.6098788360271,425.9424964867476,-2.3901211639729354,-34.05750351325241,Younger (18mo-4y) short
