subzone,planning_area,supply,n_centres,pct_full_avg,demand_2026,organic_2026,bto_2026,gap_2026,demand_2027,organic_2027,bto_2027,gap_2027,demand_2028,organic_2028,bto_2028,gap_2028,demand_2029,organic_2029,bto_2029,gap_2029,demand_2030,organic_2030,bto_2030,gap_2030,demand_2031,organic_2031,bto_2031,gap_2031,gap_trend,centres_needed_2031,category,bto_share_2031
Brickworks,Bukit Batok,1200.0,12.0,0.2611111111111111,4272.692242433014,1355.652242433014,2917.0400000000004,3072.692242433014,4386.717844668949,1334.9978446689488,3051.7200000000003,3186.7178446689486,4477.081842375674,1314.761842375674,3162.32,3277.0818423756737,4567.855906673438,1294.9359066734382,3272.92,3367.855906673438,4548.431874638874,1275.5118746388741,3272.92,3348.4318746388744,4529.401745998417,1256.4817459984174,3272.92,3329.401745998417,256.7095035654029,34.0,Urgent: deficit today,0.722594325595322
Tampines North,Tampines,1000.0,10.0,0.64,3808.355629670519,580.5156296705188,3227.84,2808.355629670519,3799.5965089099286,571.7565089099284,3227.84,2799.5965089099286,3791.0149421591054,563.1749421591053,3227.84,2791.0149421591054,3782.607395029192,554.7673950291919,3227.84,2782.607395029192,3774.3704035556334,546.5304035556331,3227.84,2774.3704035556334,3766.300572795016,538.4605727950154,3227.84,2766.300572795016,-42.055056875503396,28.0,Urgent: deficit today,0.857031970128869
Yishun East,Yishun,2500.0,25.0,0.30933333333333335,5074.585464915146,2771.3054649151454,2303.28,2574.585464915146,5042.727868751269,2739.4478687512687,2303.28,2542.727868751269,5011.5302573105755,2708.2502573105753,2303.28,2511.5302573105755,4980.97950803041,2677.6995080304105,2303.28,2480.97950803041,4951.062759837458,2647.7827598374574,2303.28,2451.0627598374576,4921.767407937736,2618.4874079377355,2303.28,2421.7674079377357,-152.81805697741038,25.0,Urgent: deficit today,0.4679782299922001
Matilda,Punggol,1400.0,14.0,0.35714285714285715,3470.2114026500717,3333.011402650072,137.20000000000002,2070.2114026500717,3564.1727412478917,3292.2927412478916,271.88,2164.1727412478917,3658.9731346732024,3252.4131346732024,406.56000000000006,2258.9731346732024,3619.9158952105768,3213.355895210577,406.56000000000006,2219.9158952105768,3581.6646676705855,3175.1046676705855,406.56000000000006,2181.6646676705855,3544.203422764427,3137.643422764427,406.56000000000006,2144.203422764427,73.99202011435546,22.0,Urgent: deficit today,0.11471124862322073
Fernvale,Sengkang,2300.0,23.0,0.18840579710144925,4580.856888705382,3205.776888705381,1375.0800000000002,2280.8568887053816,4544.897985947732,3169.817985947732,1375.0800000000002,2244.897985947732,4509.685706203127,3134.605706203127,1375.0800000000002,2209.6857062031268,4475.205206006677,3100.1252060066768,1375.0800000000002,2175.205206006677,4441.441937676614,3066.3619376766133,1375.0800000000002,2141.4419376766136,4408.381643421006,3033.3016434210053,1375.0800000000002,2108.3816434210057,-172.4752452843759,22.0,Urgent: deficit today,0.31192399189215986
Plantation,Tengah,400.0,4.0,0.5333333333333333,1745.66,0.0,1745.66,1345.66,2122.82,0.0,2122.82,1722.8200000000002,2258.76,0.0,2258.76,1858.7600000000002,2258.76,0.0,2258.76,1858.7600000000002,2258.76,0.0,2258.76,1858.7600000000002,2258.76,0.0,2258.76,1858.7600000000002,513.1000000000001,19.0,Urgent: deficit today,1.0
Lower Seletar,Yishun,600.0,6.0,0.39999999999999997,1288.8133244026399,1288.8133244026399,0.0,688.8133244026399,1272.0861162329486,1272.0861162329486,0.0,672.0861162329486,1353.5618608299392,1255.7018608299393,97.86000000000001,753.5618608299392,1756.6737354985612,1239.653735498561,517.0200000000001,1156.6737354985612,2062.2550534935162,1223.9350534935159,838.3200000000002,1462.2550534935162,2046.859261310547,1208.5392613105469,838.3200000000002,1446.859261310547,758.0459369079072,15.0,Urgent: deficit today,0.40956406522217226
Waterway East,Punggol,2400.0,24.0,0.2125,4015.248268087482,3368.728268087482,646.52,1615.2482680874818,3974.2417164065832,3327.7217164065833,646.52,1574.2417164065832,3934.080413469992,3287.560413469992,646.52,1534.080413469992,3894.7475486466014,3248.2275486466015,646.52,1494.7475486466014,3856.2266462808625,3209.7066462808625,646.52,1456.2266462808625,3818.5015590186126,3171.9815590186126,646.52,1418.5015590186126,-196.74670906886922,15.0,Urgent: deficit today,0.16931248815992656
Northshore,Punggol,1600.0,16.0,0.2791666666666667,2967.094994846897,12.8149948468969,2954.28,1367.094994846897,2966.945600269714,12.665600269713549,2954.28,1366.9456002697139,2966.799296762818,12.519296762817486,2954.28,1366.799296762818,2966.6560228620065,12.376022862006423,2954.28,1366.6560228620065,2966.5157183278525,12.235718327852245,2954.28,1366.5157183278525,2966.3783241212986,12.098324121298237,2954.28,1366.3783241212986,-0.7166707255983056,14.0,Urgent: deficit today,0.9959215168129701
Park,Tengah,500.0,5.0,0.08,1538.7400000000002,0.0,1538.7400000000002,1038.7400000000002,1816.6400000000003,0.0,1816.6400000000003,1316.6400000000003,1816.6400000000003,0.0,1816.6400000000003,1316.6400000000003,1816.6400000000003,0.0,1816.6400000000003,1316.6400000000003,1816.6400000000003,0.0,1816.6400000000003,1316.6400000000003,1816.6400000000003,0.0,1816.6400000000003,1316.6400000000003,277.9000000000001,14.0,Urgent: deficit today,1.0
Garden,Tengah,500.0,5.0,0.2,1189.44,0.0,1189.44,689.44,1480.22,0.0,1480.22,980.22,1771.0,0.0,1771.0,1271.0,1771.0,0.0,1771.0,1271.0,1771.0,0.0,1771.0,1271.0,1771.0,0.0,1771.0,1271.0,581.56,13.0,Urgent: deficit today,1.0
Keat Hong,Choa Chu Kang,1400.0,14.0,0.14285714285714285,2344.4028215411927,2046.3428215411925,298.06000000000006,944.4028215411927,2455.900206115478,2019.6602061154776,436.24,1055.9002061154779,2429.7644510532887,1993.5244510532887,436.24,1029.7644510532887,2404.1646769108847,1967.9246769108847,436.24,1004.1646769108847,2379.090221029256,1942.850221029256,436.24,979.0902210292561,2354.530633214825,1918.2906332148248,436.24,954.5306332148248,10.127811673632095,10.0,Urgent: deficit today,0.185276841951454
Sembawang East,Sembawang,900.0,9.0,0.35555555555555557,1907.1422564735317,1018.7022564735315,888.4400000000002,1007.1422564735317,1891.3475020277833,1002.9075020277833,888.4400000000002,991.3475020277833,1875.8723141813873,987.4323141813871,888.4400000000002,975.8723141813873,1860.7103310013158,972.2703310013155,888.4400000000002,960.7103310013158,1845.8553173182518,957.4153173182517,888.4400000000002,945.8553173182518,1831.3011622008962,942.8611622008959,888.4400000000002,931.3011622008962,-75.84109427263547,10.0,Urgent: deficit today,0.4851413947295563
Woodlands West,Woodlands,800.0,8.0,0.5,1653.0483435962606,939.0483435962605,714.0000000000001,853.0483435962606,1641.3301733220696,927.3301733220695,714.0000000000001,841.3301733220696,1685.713035872835,915.8530358728349,769.8600000000001,885.713035872835,1730.3321369644323,904.6121369644321,825.7200000000001,930.3321369644323,1719.3227778450414,893.6027778450413,825.7200000000001,919.3227778450414,1708.540353391727,882.8203533917269,825.7200000000001,908.540353391727,55.4920097954664,10.0,Urgent: deficit today,0.483289726438602
Woodlands South,Woodlands,1100.0,11.0,0.4727272727272727,1776.583843591187,1476.7038435911868,299.88000000000005,676.5838435911869,1849.2390983703617,1461.1590983703618,388.08000000000004,749.2390983703617,1922.2190686208492,1445.9390686208492,476.28000000000003,822.2190686208492,1907.3173007668229,1431.037300766823,476.28000000000003,807.3173007668229,1892.7274698339259,1416.4474698339259,476.28000000000003,792.7274698339259,1878.4433768869749,1402.163376886975,476.28000000000003,778.4433768869749,101.85953329578797,8.0,Urgent: deficit today,0.2535503629549423
Anchorvale,Sengkang,2000.0,20.0,0.29,2902.4918371023873,2443.5718371023872,458.9200000000001,902.4918371023873,2874.1979130396144,2415.2779130396143,458.9200000000001,874.1979130396144,2846.489764460646,2387.5697644606457,458.9200000000001,846.4897644606458,2819.3557439182337,2360.4357439182336,458.9200000000001,819.3557439182337,2792.7844360598588,2333.8644360598587,458.9200000000001,792.7844360598588,2766.7646530034,2307.8446530034,458.9200000000001,766.7646530033999,-135.72718409898744,8.0,Urgent: deficit today,0.16586882426079488
Trafalgar,Hougang,1400.0,14.0,0.16428571428571428,2149.1886336607886,1410.2686336607887,738.9200000000001,749.1886336607886,2132.266175655389,1393.3461756553888,738.9200000000001,732.2661756553889,2115.692964431545,1376.7729644315452,738.9200000000001,715.6929644315451,2099.462054486683,1360.542054486683,738.9200000000001,699.462054486683,2083.566638717658,1344.6466387176577,738.9200000000001,683.566638717658,2068.0000456632406,1329.0800456632408,738.9200000000001,668.0000456632406,-81.18858799754798,7.0,Urgent: deficit today,0.35731140410251616
Bidadari,Toa Payoh,600.0,6.0,0.3333333333333333,1252.72,0.0,1252.72,652.72,1252.72,0.0,1252.72,652.72,1252.72,0.0,1252.72,652.72,1252.72,0.0,1252.72,652.72,1252.72,0.0,1252.72,652.72,1252.72,0.0,1252.72,652.72,0.0,7.0,Urgent: deficit today,1.0
Tanjong Rhu,Kallang,300.0,3.0,0.4666666666666666,292.96802159223546,292.96802159223546,0.0,-7.031978407764541,289.9381293869214,289.9381293869214,0.0,-10.06187061307861,286.97163945122304,286.97163945122304,0.0,-13.02836054877696,572.887291807166,284.06729180716593,288.82000000000005,272.887291807166,858.8638515846881,281.223851584688,577.6400000000001,558.8638515846881,856.0801085213816,278.4401085213815,577.6400000000001,556.0801085213816,563.1120869291461,6.0,Emerging: deficit by 2031,0.6747499378273113
Woodlands Regional Centre,Woodlands,200.0,2.0,0.4,249.90000000000003,0.0,249.90000000000003,49.900000000000034,499.80000000000007,0.0,499.80000000000007,299.80000000000007,618.5200000000001,0.0,618.5200000000001,418.5200000000001,737.2400000000001,0.0,737.2400000000001,537.2400000000001,737.2400000000001,0.0,737.2400000000001,537.2400000000001,737.2400000000001,0.0,737.2400000000001,537.2400000000001,487.3400000000001,6.0,Urgent: deficit today,1.0
Henderson Hill,Bukit Merah,200.0,2.0,0.4,284.4516055676359,284.4516055676359,0.0,84.45160556763591,281.1676495885142,281.1676495885142,0.0,81.16764958851422,511.6117000997735,277.95170009977346,233.66000000000003,311.6117000997735,742.1224048921442,274.8024048921441,467.32000000000005,542.1224048921442,739.0384387013926,271.7184387013925,467.32000000000005,539.0384387013926,736.0185026714585,268.69850267145847,467.32000000000005,536.0185026714585,451.56689710382255,6.0,Urgent: deficit today,0.6349296903594295
Singapore Polytechnic,Queenstown,100.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,124.60000000000001,0.0,124.60000000000001,24.60000000000001,435.40000000000003,0.0,435.40000000000003,335.40000000000003,621.6,0.0,621.6,521.6,621.6,0.0,621.6,521.6,621.6,6.0,Emerging: deficit by 2031,1.0
Ghim Moh,Queenstown,500.0,5.0,0.64,496.7246212109408,496.7246212109408,0.0,-3.2753787890591752,490.32358202131917,490.32358202131917,0.0,-9.676417978680831,744.1738573817577,484.05385738175767,260.12,244.17385738175767,998.1528350032186,477.9128350032186,520.24,498.15283500321857,992.1379546495019,471.8979546495019,520.24,492.1379546495019,986.2467071001262,466.00670710012616,520.24,486.2467071001262,489.52208588918535,5.0,Emerging: deficit by 2031,0.5274947903549086
Senja,Bukit Panjang,700.0,7.0,0.2761904761904762,1221.9267443754688,782.0467443754687,439.88,521.9267443754688,1213.5486192995866,773.6686192995866,439.88,513.5486192995866,1205.3452074083284,765.4652074083284,439.88,505.3452074083284,1197.3130360474286,757.4330360474286,439.88,497.31303604742857,1189.4487017624429,749.5687017624427,439.88,489.44870176244285,1181.7488689199884,741.8688689199884,439.88,481.74886891998835,-40.17787545548049,5.0,Urgent: deficit today,0.3722279847849658
Macpherson,Geylang,900.0,9.0,0.2,1125.8310905832768,722.3510905832769,403.48,225.83109058327682,1310.2154995665308,713.2554995665307,596.96,410.21549956653075,1301.306856476895,704.346856476895,596.96,401.30685647689506,1292.5814426633285,695.6214426633285,596.96,392.5814426633285,1284.0356135735562,687.0756135735562,596.96,384.03561357355625,1275.6657972776998,678.7057972776998,596.96,375.66579727769977,149.83470669442295,4.0,Urgent: deficit today,0.46795955592281807
Boon Lay Place,Jurong West,800.0,8.0,0.325,1218.6785166591096,1001.6785166591095,217.00000000000003,418.6785166591096,1207.3545007012074,990.3545007012073,217.00000000000003,407.35450070120737,1196.2654384698048,979.2654384698047,217.00000000000003,396.26543846980485,1185.4066587205193,968.4066587205193,217.00000000000003,385.4066587205193,1174.7735832918445,957.7735832918444,217.00000000000003,374.7735832918445,1164.3617252505362,947.3617252505362,217.00000000000003,364.3617252505362,-54.31679140857341,4.0,Urgent: deficit today,0.18636820095860507
Redhill,Bukit Merah,200.0,2.0,0.0,351.7931577875353,351.7931577875353,0.0,151.79315778753528,348.173861430224,348.173861430224,0.0,148.173861430224,454.11034045585916,344.63034045585914,109.48,254.11034045585916,560.1210890392002,341.16108903920025,218.96,360.1210890392002,556.7246313620262,337.76463136202625,218.96,356.72463136202623,553.3995210152664,334.4395210152664,218.96,353.3995210152664,201.6063632277311,4.0,Urgent: deficit today,0.3956635155706245
