subzone,planning_area,supply,n_centres,pct_full_avg,demand_2026,organic_2026,bto_2026,gap_2026,demand_2027,organic_2027,bto_2027,gap_2027,demand_2028,organic_2028,bto_2028,gap_2028,demand_2029,organic_2029,bto_2029,gap_2029,demand_2030,organic_2030,bto_2030,gap_2030,demand_2031,organic_2031,bto_2031,gap_2031,gap_trend,centres_needed_2031,category,bto_share_2031
Woodlands East,Woodlands,4200.0,42.0,0.3761904761904762,3483.0937279793625,3258.8137279793623,224.28,-716.9062720206375,3446.131063843077,3221.8510638430766,224.28,-753.8689361569232,3409.9350793479757,3185.6550793479755,224.28,-790.0649206520243,3374.490531473684,3150.2105314736837,224.28,-825.5094685263161,3339.7824809439353,3115.502480943935,224.28,-860.2175190560647,3305.796286174677,3081.5162861746767,224.28,-894.2037138253231,-177.2974418046856,0.0,Relocation candidate,0.06784447091854139
Tampines East,Tampines,5400.0,54.0,0.27901234567901234,3493.5428301746188,3456.1628301746186,37.38,-1906.4571698253812,3490.663716342617,3415.903716342617,74.76,-1909.3362836573829,3451.2376488971013,3376.477648897101,74.76,-1948.7623511028987,3412.628063238733,3337.8680632387327,74.76,-1987.371936761267,3374.8187248448226,3300.0587248448223,74.76,-2025.1812751551774,3337.793722692772,3263.033722692772,74.76,-2062.206277307228,-155.74910748184675,0.0,Relocation candidate,0.022398028821172096
Sengkang Town Centre,Sengkang,2400.0,24.0,0.18333333333333335,2300.2915750179936,2300.2915750179936,0.0,-99.70842498200636,2273.4752484135815,2273.4752484135815,0.0,-126.52475158641846,2247.213768925739,2247.213768925739,0.0,-152.7862310742612,2221.4961037301528,2221.4961037301528,0.0,-178.50389626984725,2196.311439849478,2196.311439849478,0.0,-203.68856015052188,2171.649179773033,2171.649179773033,0.0,-228.3508202269668,-128.64239524496043,0.0,Relocation candidate,0.0
Jurong West Central,Jurong West,2100.0,21.0,0.24126984126984125,1883.3556174664825,1883.3556174664825,0.0,-216.6443825335175,1864.740574219642,1864.740574219642,0.0,-235.25942578035801,1846.5168575464381,1846.5168575464381,0.0,-253.48314245356187,1828.6766925561096,1828.6766925561096,0.0,-271.32330744389037,1811.2124592921891,1811.2124592921891,0.0,-288.7875407078109,1794.1166896455466,1794.1166896455466,0.0,-305.88331035445344,-89.23892782093594,0.0,Relocation candidate,0.0
Punggol Field,Punggol,1800.0,18.0,0.17777777777777778,1787.6559564495087,1787.6559564495087,0.0,-12.344043550491278,1769.8353361880563,1769.8353361880563,0.0,-30.164663811943683,1752.3890121730549,1752.3890121730549,0.0,-47.61098782694512,1735.3095475350458,1735.3095475350458,0.0,-64.6904524649542,1718.5896536025712,1718.5896536025712,0.0,-81.41034639742884,1702.2221869494335,1702.2221869494335,0.0,-97.77781305056646,-85.43376950007519,0.0,Relocation candidate,0.0
Yunnan,Jurong West,2200.0,22.0,0.1272727272727273,1794.2319476330717,1564.6319476330718,229.60000000000002,-405.76805236692826,1778.0476234418666,1548.4476234418664,229.60000000000002,-421.95237655813344,1762.2019598669926,1532.6019598669925,229.60000000000002,-437.79804013300736,1746.688226781886,1517.088226781886,229.60000000000002,-453.311773218114,1731.4998281729781,1501.899828172978,229.60000000000002,-468.50017182702186,1716.6302994675843,1487.0302994675842,229.60000000000002,-483.36970053241566,-77.6016481654874,0.0,Relocation candidate,0.13375040628795312
Yishun South,Yishun,1600.0,16.0,0.19583333333333333,1176.125748263853,1176.125748263853,0.0,-423.874251736147,1161.6437783117701,1161.6437783117701,0.0,-438.3562216882299,1147.4600259849583,1147.4600259849583,0.0,-452.5399740150417,1133.568559911551,1133.568559911551,0.0,-466.4314400884491,1119.9635669103077,1119.9635669103077,0.0,-480.0364330896923,1106.6393496357443,1106.6393496357443,0.0,-493.36065036425566,-69.48639862810865,0.0,Relocation candidate,0.0
Sembawang Central,Sembawang,1900.0,19.0,0.19473684210526318,1633.7509367860114,1200.3109367860113,433.44000000000005,-266.2490632139886,1620.1113048817672,1186.6713048817671,433.44000000000005,-279.8886951182328,1606.754538293476,1173.3145382934758,433.44000000000005,-293.2454617065241,1593.675013081619,1160.235013081619,433.44000000000005,-306.324986918381,1580.8672173735545,1147.4272173735544,433.44000000000005,-319.13278262644553,1568.3257491306588,1134.8857491306587,433.44000000000005,-331.6742508693412,-65.4251876553526,0.0,Relocation candidate,0.27637115582669025
Yishun West,Yishun,1400.0,14.0,0.24285714285714288,1193.49063902781,1193.49063902781,0.0,-206.50936097219005,1180.2517407556447,1180.2517407556447,0.0,-219.74825924435527,1167.2880095643193,1167.2880095643193,0.0,-232.71199043568072,1154.5939752066315,1154.5939752066315,0.0,-245.4060247933685,1142.1642764403546,1142.1642764403546,0.0,-257.83572355964543,1129.9936588563864,1129.9936588563864,0.0,-270.00634114361355,-63.4969801714235,0.0,Relocation candidate,0.0
Pasir Ris Drive,Pasir Ris,1700.0,17.0,0.3058823529411765,1174.061746590088,1174.061746590088,0.0,-525.938253409912,1161.2099583554414,1161.2099583554414,0.0,-538.7900416445586,1148.625624246219,1148.625624246219,0.0,-551.3743757537809,1136.3034276916296,1136.3034276916296,0.0,-563.6965723083704,1124.2381580639392,1124.2381580639392,0.0,-575.7618419360608,1112.4247085676275,1112.4247085676275,0.0,-587.5752914323725,-61.6370380224605,0.0,Relocation candidate,0.0
Peng Siang,Choa Chu Kang,1200.0,12.0,0.3166666666666667,1086.3400427155796,1086.3400427155796,0.0,-113.65995728442044,1073.9648152795698,1073.9648152795698,0.0,-126.03518472043015,1061.8461731739499,1061.8461731739499,0.0,-138.15382682605014,1049.9790148985587,1049.9790148985587,0.0,-150.02098510144128,1038.358340609524,1038.358340609524,0.0,-161.64165939047598,1026.9792500938293,1026.9792500938293,0.0,-173.02074990617075,-59.360792621750306,0.0,Relocation candidate,0.0
Midview,Woodlands,1400.0,14.0,0.3,1031.400685007824,1031.400685007824,0.0,-368.599314992176,1019.5374397163077,1019.5374397163077,0.0,-380.46256028369226,1007.9199492329337,1007.9199492329337,0.0,-392.08005076706627,996.5433271695248,996.5433271695248,0.0,-403.4566728304752,985.4027845074689,985.4027845074689,0.0,-414.59721549253106,974.4936276576963,974.4936276576963,0.0,-425.50637234230373,-56.90705735012773,0.0,Relocation candidate,0.0
Fajar,Bukit Panjang,1100.0,11.0,0.36363636363636365,1018.172889826174,1018.172889826174,0.0,-81.82711017382599,1006.7850754553285,1006.7850754553285,0.0,-93.21492454467148,995.6337721223683,995.6337721223683,0.0,-104.36622787763167,984.714277863534,984.714277863534,0.0,-115.285722136466,974.021984410343,974.021984410343,0.0,-125.97801558965705,963.5523753227745,963.5523753227745,0.0,-136.44762467722546,-54.62051450339948,0.0,Relocation candidate,0.0
Frankel,Bedok,2400.0,24.0,0.24166666666666667,1086.7977599777187,1086.7977599777187,0.0,-1313.2022400222813,1076.0554389780573,1076.0554389780573,0.0,-1323.9445610219427,1065.5389427529992,1065.5389427529992,0.0,-1334.4610572470008,1055.2437846066402,1055.2437846066402,0.0,-1344.7562153933598,1045.1655672517986,1045.1655672517986,0.0,-1354.8344327482014,1035.2999810286096,1035.2999810286096,0.0,-1364.7000189713904,-51.49777894910903,0.0,Relocation candidate,0.0
Simei,Tampines,1400.0,14.0,0.18571428571428572,959.6798123456321,959.6798123456321,0.0,-440.32018765436794,949.6163462590861,949.6163462590861,0.0,-450.3836537409139,939.7631759941941,939.7631759941941,0.0,-460.23682400580594,930.1161220965366,930.1161220965366,0.0,-469.8838779034634,920.6710883964604,920.6710883964604,0.0,-479.3289116035396,911.4240603496856,911.4240603496856,0.0,-488.57593965031435,-48.25575199594641,0.0,Relocation candidate,0.0
